State,Year,Total Population
PENNSYLVANIA,1994,12042545
RHODE ISLAND,1994,993412
SOUTH CAROLINA,1994,3666456
SOUTH DAKOTA,1994,723038
TENNESSEE,1994,5163016
TEXAS,1994,18338319
UTAH,1994,1930436
VERMONT,1994,578900
VIRGINIA,1994,6536771
WASHINGTON,1994,5334896
WEST VIRGINIA,1994,1818490
WISCONSIN,1994,5095504
WYOMING,1994,474982
ALABAMA,1995,4262731
ALASKA,1995,601345
ARIZONA,1995,4306908
ARKANSAS,1995,2480121
CALIFORNIA,1995,31493525
COLORADO,1995,3738061
CONNECTICUT,1995,3265293
DELAWARE,1995,718265
DISTRICT OF COLUMBIA,1995,551273
FLORIDA,1995,14185403
GEORGIA,1995,7188538
HAWAII,1995,1180490
IDAHO,1995,1165000
ILLINOIS,1995,11884935
INDIANA,1995,5791819
IOWA,1995,2840860
KANSAS,1995,2586942
KENTUCKY,1995,3855248
LOUISIANA,1995,4327978
MAINE,1995,1237438
MARYLAND,1995,5023650
MASSACHUSETTS,1995,6062335
MICHIGAN,1995,9659871
MINNESOTA,1995,4605445
MISSISSIPPI,1995,2690788
MISSOURI,1995,5324610
MONTANA,1995,868522
NEBRASKA,1995,1635142
NEVADA,1995,1525777
NEW HAMPSHIRE,1995,1145604
NEW JERSEY,1995,7965523
NEW MEXICO,1995,1682417
NEW YORK,1995,18150928
NORTH CAROLINA,1995,7185403
NORTH DAKOTA,1995,641548
OHIO,1995,11155493
OKLAHOMA,1995,3265547
OREGON,1995,3141421
PENNSYLVANIA,1995,12044780
RHODE ISLAND,1995,989203
SOUTH CAROLINA,1995,3699943
SOUTH DAKOTA,1995,728251
TENNESSEE,1995,5241168
TEXAS,1995,18679706
UTAH,1995,1976774
VERMONT,1995,582827
VIRGINIA,1995,6601392
WASHINGTON,1995,5431024
WEST VIRGINIA,1995,1820560
WISCONSIN,1995,5137004
WYOMING,1995,478447
ALABAMA,1998,4351037
ALASKA,1998,615205
ARIZONA,1998,4667277
ARKANSAS,1998,2538202
CALIFORNIA,1998,32682794
COLORADO,1998,3968967
CONNECTICUT,1998,3272563
DELAWARE,1998,744066
DISTRICT OF COLUMBIA,1998,521426
FLORIDA,1998,14908230
GEORGIA,1998,7636522
HAWAII,1998,1190472
IDAHO,1998,1230923
ILLINOIS,1998,12069774
INDIANA,1998,5907617
IOWA,1998,2861025
KANSAS,1998,2638667
KENTUCKY,1998,3934310
LOUISIANA,1998,4362758
MAINE,1998,1247554
MARYLAND,1998,5130072
MASSACHUSETTS,1998,6144407
MICHIGAN,1998,9820231
MINNESOTA,1998,4726411
MISSISSIPPI,1998,2751335
MISSOURI,1998,5437562
MONTANA,1998,879533
NEBRASKA,1998,1660772
NEVADA,1998,1743772
NEW HAMPSHIRE,1998,1185823
NEW JERSEY,1998,8095542
NEW MEXICO,1998,1733535
NEW YORK,1998,18159175
NORTH CAROLINA,1998,7545828
NORTH DAKOTA,1998,637808
OHIO,1998,11237752
OKLAHOMA,1998,3339478
OREGON,1998,3282055
PENNSYLVANIA,1998,12002329
RHODE ISLAND,1998,987704
SOUTH CAROLINA,1998,3839578
SOUTH DAKOTA,1998,730789
TENNESSEE,1998,5432679
TEXAS,1998,19712389
UTAH,1998,2100562
VERMONT,1998,590579
VIRGINIA,1998,6789225
WASHINGTON,1998,5687832
WEST VIRGINIA,1998,1811688
WISCONSIN,1998,5222124
WYOMING,1998,480045
ALABAMA,1999,4369862
ALASKA,1999,619500
ARIZONA,1999,4778332
ARKANSAS,1999,2551373
CALIFORNIA,1999,33145121
COLORADO,1999,4056133
CONNECTICUT,1999,3282031
DELAWARE,1999,753538
DISTRICT OF COLUMBIA,1999,519000
FLORIDA,1999,15111244
GEORGIA,1999,7788240
HAWAII,1999,1185497
IDAHO,1999,1251700
ILLINOIS,1999,12128370
INDIANA,1999,5942901
IOWA,1999,2869413
KANSAS,1999,2654052
KENTUCKY,1999,3960825
LOUISIANA,1999,4372035
MAINE,1999,1253040
MARYLAND,1999,5171634
MASSACHUSETTS,1999,6175169
MICHIGAN,1999,9863775
MINNESOTA,1999,4775508
MISSISSIPPI,1999,2768619
MISSOURI,1999,5468338
MONTANA,1999,882779
NEBRASKA,1999,1666028
NEVADA,1999,1809253
NEW HAMPSHIRE,1999,1201134
NEW JERSEY,1999,8143412
NEW MEXICO,1999,1739844
NEW YORK,1999,18196601
NORTH CAROLINA,1999,7650789
NORTH DAKOTA,1999,633666
OHIO,1999,11256654
OKLAHOMA,1999,3358044
OREGON,1999,3316154
PENNSYLVANIA,1999,11994016
RHODE ISLAND,1999,990819
SOUTH CAROLINA,1999,3885736
SOUTH DAKOTA,1999,733133
TENNESSEE,1999,5483535
TEXAS,1999,20044141
UTAH,1999,2129836
VERMONT,1999,593740
VIRGINIA,1999,6872912
WASHINGTON,1999,5756361
WEST VIRGINIA,1999,1806928
WISCONSIN,1999,5250446
WYOMING,1999,479602
