State,Year,Total Population
Pennsylvania,1995,12044780
Rhode Island,1995,989203
South Carolina,1995,3699943
South Dakota,1995,728251
Tennessee,1995,5241168
Texas,1995,18679706
Utah,1995,1976774
Vermont,1995,582827
Virginia,1995,6601392
Washington,1995,5431024
West Virginia,1995,1820560
Wisconsin,1995,5137004
Wyoming,1995,478447
Alabama,1996,4290403
Alaska,1996,604918
Arizona,1996,4432308
Arkansas,1996,2504858
California,1996,31780829
Colorado,1996,3812716
Connecticut,1996,3267030
Delaware,1996,727090
District Of Columbia,1996,538273
Florida,1996,14426911
Georgia,1996,7332225
Hawaii,1996,1184434
Idaho,1996,1187706
Illinois,1996,11953003
Indiana,1996,5834908
Iowa,1996,2848473
Kansas,1996,2598266
Kentucky,1996,3881051
Louisiana,1996,4338763
Maine,1996,1241436
Maryland,1996,5057142
Massachusetts,1996,6085393
Michigan,1996,9739184
Minnesota,1996,4647723
Mississippi,1996,2709925
Missouri,1996,5367888
Montana,1996,876656
Nebraska,1996,1647657
Nevada,1996,1596476
New Hampshire,1996,1160768
New Jersey,1996,8009624
New Mexico,1996,1706151
New York,1996,18143805
North Carolina,1996,7307658
North Dakota,1996,642858
Ohio,1996,11187032
Oklahoma,1996,3289634
Oregon,1996,3195087
Pennsylvania,1996,12038008
Rhode Island,1996,987858
South Carolina,1996,3738974
South Dakota,1996,730699
Tennessee,1996,5313576
Texas,1996,19006240
Utah,1996,2022253
Vermont,1996,586352
Virginia,1996,6665491
Washington,1996,5509963
West Virginia,1996,1818983
Wisconsin,1996,5173828
Wyoming,1996,480085
Alabama,1997,4320281
Alaska,1997,608846
Arizona,1997,4552207
Arkansas,1997,2524007
California,1997,32217708
Colorado,1997,3891293
Connecticut,1997,3268514
Delaware,1997,735024
District Of Columbia,1997,528752
Florida,1997,14683350
Georgia,1997,7486094
Hawaii,1997,1189322
Idaho,1997,1210638
Illinois,1997,12011509
Indiana,1997,5872370
Iowa,1997,2854396
Kansas,1997,2616339
Kentucky,1997,3907816
Louisiana,1997,4351390
Maine,1997,1245215
Maryland,1997,5092914
Massachusetts,1997,6115476
Michigan,1997,9785450
Minnesota,1997,4687726
Mississippi,1997,2731826
Missouri,1997,5407113
Montana,1997,878706
Nebraska,1997,1656042
Nevada,1997,1675581
New Hampshire,1997,1173239
New Jersey,1997,8054178
New Mexico,1997,1722939
New York,1997,18143184
North Carolina,1997,7428672
North Dakota,1997,640945
Ohio,1997,11212498
Oklahoma,1997,3314259
Oregon,1997,3243254
Pennsylvania,1997,12015888
Rhode Island,1997,986966
South Carolina,1997,3790066
South Dakota,1997,730855
Tennessee,1997,5378433
Texas,1997,19355427
Utah,1997,2065397
Vermont,1997,588665
Virginia,1997,6732878
Washington,1997,5604105
West Virginia,1997,1815588
Wisconsin,1997,5200235
Wyoming,1997,480031
Alabama,1998,4351037
Alaska,1998,615205
Arizona,1998,4667277
Arkansas,1998,2538202
California,1998,32682794
Colorado,1998,3968967
Connecticut,1998,3272563
Delaware,1998,744066
District Of Columbia,1998,521426
Florida,1998,14908230
Georgia,1998,7636522
Hawaii,1998,1190472
Idaho,1998,1230923
Illinois,1998,12069774
Indiana,1998,5907617
Iowa,1998,2861025
Kansas,1998,2638667
Kentucky,1998,3934310
Louisiana,1998,4362758
Maine,1998,1247554
Maryland,1998,5130072
Massachusetts,1998,6144407
Michigan,1998,9820231
Minnesota,1998,4726411
Mississippi,1998,2751335
Missouri,1998,5437562
Montana,1998,879533
Nebraska,1998,1660772
Nevada,1998,1743772
New Hampshire,1998,1185823
New Jersey,1998,8095542
New Mexico,1998,1733535
New York,1998,18159175
North Carolina,1998,7545828
North Dakota,1998,637808
Ohio,1998,11237752
Oklahoma,1998,3339478
Oregon,1998,3282055
Pennsylvania,1998,12002329
Rhode Island,1998,987704
South Carolina,1998,3839578
South Dakota,1998,730789
Tennessee,1998,5432679
Texas,1998,19712389
Utah,1998,2100562
Vermont,1998,590579
Virginia,1998,6789225
Washington,1998,5687832
West Virginia,1998,1811688
Wisconsin,1998,5222124
Wyoming,1998,480045
Alabama,1999,4369862
Alaska,1999,619500
Arizona,1999,4778332
Arkansas,1999,2551373
California,1999,33145121
Colorado,1999,4056133
Connecticut,1999,3282031
Delaware,1999,753538
District Of Columbia,1999,519000
Florida,1999,15111244
Georgia,1999,7788240
Hawaii,1999,1185497
Idaho,1999,1251700
Illinois,1999,12128370
Indiana,1999,5942901
Iowa,1999,2869413
Kansas,1999,2654052
Kentucky,1999,3960825
Louisiana,1999,4372035
Maine,1999,1253040
Maryland,1999,5171634
Massachusetts,1999,6175169
Michigan,1999,9863775
Minnesota,1999,4775508
Mississippi,1999,2768619
Missouri,1999,5468338
Montana,1999,882779
Nebraska,1999,1666028
Nevada,1999,1809253
New Hampshire,1999,1201134
New Jersey,1999,8143412
New Mexico,1999,1739844
New York,1999,18196601
North Carolina,1999,7650789
North Dakota,1999,633666
Ohio,1999,11256654
Oklahoma,1999,3358044
Oregon,1999,3316154
Pennsylvania,1999,11994016
Rhode Island,1999,990819
South Carolina,1999,3885736
South Dakota,1999,733133
Tennessee,1999,5483535
Texas,1999,20044141
Utah,1999,2129836
Vermont,1999,593740
Virginia,1999,6872912
Washington,1999,5756361
West Virginia,1999,1806928
Wisconsin,1999,5250446
Wyoming,1999,479602
