State,Year,Total Population
Vermont,1977,486797
Virginia,1977,5170007
Washington,1977,3735864
West Virginia,1977,1887793
Wisconsin,1977,4564085
Wyoming,1977,408535
Alabama,1978,3802132
Alaska,1978,401436
Arizona,1978,2500632
Arkansas,1978,2216571
California,1978,22637120
Colorado,1978,2744307
Connecticut,1978,3062174
Delaware,1978,593368
District of Columbia,1978,663868
Florida,1978,9028476
Georgia,1978,5249272
Hawaii,1978,923732
Idaho,1978,903158
Illinois,1978,11327605
Indiana,1978,5395301
Iowa,1978,2876722
Kansas,1978,2301724
Kentucky,1978,3578819
Louisiana,1978,4044381
Maine,1978,1102601
Maryland,1978,4181725
Massachusetts,1978,5673897
Michigan,1978,9126485
Minnesota,1978,3955635
Mississippi,1978,2466043
Missouri,1978,4813576
Montana,1978,775523
Nebraska,1978,1538957
Nevada,1978,716196
New Hampshire,1978,885189
New Jersey,1978,7289626
New Mexico,1978,1244003
New York,1978,17540592
North Carolina,1978,5698387
North Dakota,1978,643107
Ohio,1978,10694456
Oklahoma,1978,2881052
Oregon,1978,2483365
Pennsylvania,1978,11744214
Rhode Island,1978,946295
South Carolina,1978,3022829
South Dakota,1978,679603
Tennessee,1978,4423827
Texas,1978,13394669
Utah,1978,1356137
Vermont,1978,492759
Virginia,1978,5246381
Washington,1978,3847767
West Virginia,1978,1901983
Wisconsin,1978,4579414
Wyoming,1978,427736
Alabama,1979,3836335
Alaska,1979,402753
Arizona,1979,2619796
Arkansas,1979,2243611
California,1979,23043853
Colorado,1979,2825618
Connecticut,1979,3065309
Delaware,1979,593703
District of Columbia,1979,649265
Florida,1979,9358848
Georgia,1979,5352746
Hawaii,1979,944675
Idaho,1979,924558
Illinois,1979,11311203
Indiana,1979,5421861
Iowa,1979,2872974
Kansas,1979,2315074
Kentucky,1979,3609870
Louisiana,1979,4109586
Maine,1979,1111297
Maryland,1979,4191857
Massachusetts,1979,5674248
Michigan,1979,9169608
Minnesota,1979,3986931
Mississippi,1979,2484915
Missouri,1979,4829781
Montana,1979,780556
Nebraska,1979,1541493
Nevada,1979,761763
New Hampshire,1979,902590
New Jersey,1979,7302736
New Mexico,1979,1272157
New York,1979,17445672
North Carolina,1979,5758140
North Dakota,1979,644283
Ohio,1979,10693170
Oklahoma,1979,2936942
Oregon,1979,2550693
Pennsylvania,1979,11747344
Rhode Island,1979,945089
South Carolina,1979,3067629
South Dakota,1979,678911
Tennessee,1979,4493367
Texas,1979,13779613
Utah,1979,1407541
Vermont,1979,499877
Virginia,1979,5284615
Washington,1979,3972665
West Virginia,1979,1920036
Wisconsin,1979,4611882
Wyoming,1979,448515
Alabama,1990,4048508
Alaska,1990,553120
Arizona,1990,3679056
Arkansas,1990,2354343
California,1990,29950111
Colorado,1990,3303862
Connecticut,1990,3289056
Delaware,1990,669063
District Of Columbia,1990,603814
Florida,1990,13018365
Georgia,1990,6506531
Hawaii,1990,1112703
Idaho,1990,1011882
Illinois,1990,11446979
Indiana,1990,5555097
Iowa,1990,2779769
Kansas,1990,2480683
Kentucky,1990,3692584
Louisiana,1990,4219179
Maine,1990,1231296
Maryland,1990,4797431
Massachusetts,1990,6018664
Michigan,1990,9310462
Minnesota,1990,4387283
Mississippi,1990,2577426
Missouri,1990,5126370
Montana,1990,799824
Nebraska,1990,1580664
Nevada,1990,1218629
New Hampshire,1990,1111831
New Jersey,1990,7757158
New Mexico,1990,1519933
New York,1990,18002855
North Carolina,1990,6656987
North Dakota,1990,637364
Ohio,1990,10861837
Oklahoma,1990,3147105
Oregon,1990,2858547
Pennsylvania,1990,11895604
Rhode Island,1990,1004649
South Carolina,1990,3499064
South Dakota,1990,696667
Tennessee,1990,4890626
Texas,1990,17044714
Utah,1990,1729722
Vermont,1990,564526
Virginia,1990,6213526
Washington,1990,4900780
West Virginia,1990,1792481
Wisconsin,1990,4902265
Wyoming,1990,453401
Alabama,1991,4091025
Alaska,1991,569273
Arizona,1991,3762394
Arkansas,1991,2370666
California,1991,30414114
Colorado,1991,3367567
Connecticut,1991,3288640
Delaware,1991,680495
District Of Columbia,1991,593239
Florida,1991,13289497
Georgia,1991,6621279
Hawaii,1991,1131412
Idaho,1991,1038915
Illinois,1991,11535973
Indiana,1991,5602062
Iowa,1991,2791227
Kansas,1991,2495209
Kentucky,1991,3714686
Louisiana,1991,4240950
Maine,1991,1235439
Maryland,1991,4856176
Massachusetts,1991,5998652
Michigan,1991,9395022
Minnesota,1991,4427429
Mississippi,1991,2591230
Missouri,1991,5157770
Montana,1991,807837
Nebraska,1991,1590805
Nevada,1991,1285046
New Hampshire,1991,1107055
New Jersey,1991,7784269
New Mexico,1991,1547115
New York,1991,18029532
North Carolina,1991,6748135
North Dakota,1991,634199
Ohio,1991,10933683
Oklahoma,1991,3166471
Oregon,1991,2918745
Pennsylvania,1991,11943160
Rhode Island,1991,1003990
South Carolina,1991,3559470
South Dakota,1991,701445
Tennessee,1991,4946886
Texas,1991,17339904
Utah,1991,1771941
Vermont,1991,567141
Virginia,1991,6283853
Washington,1991,5013443
West Virginia,1991,1798212
Wisconsin,1991,4952675
Wyoming,1991,457739
Alabama,1992,4139269
Alaska,1992,587073
Arizona,1992,3867333
Arkansas,1992,2394098
California,1992,30875920
Colorado,1992,3459995
Connecticut,1992,3274997
Delaware,1992,690158
District Of Columbia,1992,584183
Florida,1992,13504775
Georgia,1992,6759474
Hawaii,1992,1149926
Idaho,1992,1066490
Illinois,1992,11635197
Indiana,1992,5648649
Iowa,1992,2806923
Kansas,1992,2526042
Kentucky,1992,3756358
Louisiana,1992,4270849
Maine,1992,1235748
Maryland,1992,4902545
Massachusetts,1992,5993474
Michigan,1992,9470323
Minnesota,1992,4471503
Mississippi,1992,2610193
Missouri,1992,5193686
Montana,1992,822436
Nebraska,1992,1602406
Nevada,1992,1330694
New Hampshire,1992,1112766
New Jersey,1992,7827770
New Mexico,1992,1580750
New York,1992,18082032
North Carolina,1992,6831850
North Dakota,1992,635427
Ohio,1992,11007609
Oklahoma,1992,3204174
Oregon,1992,2973934
Pennsylvania,1992,11980819
Rhode Island,1992,1000571
South Carolina,1992,3600576
South Dakota,1992,708698
Tennessee,1992,5013999
Texas,1992,17650479
Utah,1992,1821498
Vermont,1992,570115
Virginia,1992,6383315
Washington,1992,5139011
West Virginia,1992,1805462
Wisconsin,1992,5004636
Wyoming,1992,463491
Alabama,1993,4193114
Alaska,1993,596993
Arizona,1993,3993390
Arkansas,1993,2423743
California,1993,31147208
Colorado,1993,3560884
Connecticut,1993,3272325
Delaware,1993,699475
District Of Columbia,1993,576358
Florida,1993,13713593
Georgia,1993,6894092
Hawaii,1993,1161508
Idaho,1993,1101204
Illinois,1993,11725984
Indiana,1993,5701965
Iowa,1993,2820525
Kansas,1993,2547605
Kentucky,1993,3792288
Louisiana,1993,4284749
Maine,1993,1238256
Maryland,1993,4942504
Massachusetts,1993,6010884
Michigan,1993,9529240
Minnesota,1993,4521709
Mississippi,1993,2635574
Missouri,1993,5237757
Montana,1993,839876
Nebraska,1993,1612149
Nevada,1993,1380197
New Hampshire,1993,1122191
New Jersey,1993,7874891
New Mexico,1993,1614937
New York,1993,18140894
North Carolina,1993,6947412
North Dakota,1993,637229
Ohio,1993,11070385
Oklahoma,1993,3228829
Oregon,1993,3034490
Pennsylvania,1993,12022128
Rhode Island,1993,997852
South Carolina,1993,3634507
South Dakota,1993,716258
Tennessee,1993,5085666
Texas,1993,17996764
Utah,1993,1875993
Vermont,1993,574004
Virginia,1993,6464795
Washington,1993,5247704
West Virginia,1993,1816179
Wisconsin,1993,5055318
Wyoming,1993,469033
Alabama,1994,4232965
Alaska,1994,600624
Arizona,1994,4147561
Arkansas,1994,2450605
California,1994,31317179
Colorado,1994,3653910
Connecticut,1994,3268346
Delaware,1994,708416
District Of Columbia,1994,564982
Florida,1994,13961798
Georgia,1994,7045900
Hawaii,1994,1173903
Idaho,1994,1135459
Illinois,1994,11804986
Indiana,1994,5745626
Iowa,1994,2829422
Kansas,1994,2569118
Kentucky,1994,3823215
Louisiana,1994,4306500
Maine,1994,1237687
Maryland,1994,4985411
Massachusetts,1994,6031352
Michigan,1994,9584481
Minnesota,1994,4566028
Mississippi,1994,2663450
Missouri,1994,5281206
Montana,1994,854923
Nebraska,1994,1621551
Nevada,1994,1456388
New Hampshire,1994,1133054
New Jersey,1994,7918796
New Mexico,1994,1653329
New York,1994,18156652
North Carolina,1994,7060959
North Dakota,1994,639762
Ohio,1994,11111451
Oklahoma,1994,3246119
Oregon,1994,3087142
Pennsylvania,1994,12042545
Rhode Island,1994,993412
South Carolina,1994,3666456
South Dakota,1994,723038
Tennessee,1994,5163016
Texas,1994,18338319
Utah,1994,1930436
Vermont,1994,578900
Virginia,1994,6536771
Washington,1994,5334896
West Virginia,1994,1818490
Wisconsin,1994,5095504
Wyoming,1994,474982
Alabama,1995,4262731
Alaska,1995,601345
Arizona,1995,4306908
Arkansas,1995,2480121
California,1995,31493525
Colorado,1995,3738061
Connecticut,1995,3265293
Delaware,1995,718265
District Of Columbia,1995,551273
Florida,1995,14185403
Georgia,1995,7188538
Hawaii,1995,1180490
Idaho,1995,1165000
Illinois,1995,11884935
Indiana,1995,5791819
Iowa,1995,2840860
Kansas,1995,2586942
Kentucky,1995,3855248
Louisiana,1995,4327978
Maine,1995,1237438
Maryland,1995,5023650
Massachusetts,1995,6062335
Michigan,1995,9659871
Minnesota,1995,4605445
Mississippi,1995,2690788
Missouri,1995,5324610
Montana,1995,868522
Nebraska,1995,1635142
Nevada,1995,1525777
New Hampshire,1995,1145604
New Jersey,1995,7965523
New Mexico,1995,1682417
New York,1995,18150928
North Carolina,1995,7185403
North Dakota,1995,641548
Ohio,1995,11155493
Oklahoma,1995,3265547
Oregon,1995,3141421
Pennsylvania,1995,12044780
Rhode Island,1995,989203
South Carolina,1995,3699943
South Dakota,1995,728251
Tennessee,1995,5241168
Texas,1995,18679706
Utah,1995,1976774
Vermont,1995,582827
Virginia,1995,6601392
Washington,1995,5431024
West Virginia,1995,1820560
Wisconsin,1995,5137004
Wyoming,1995,478447
Alabama,1996,4290403
Alaska,1996,604918
Arizona,1996,4432308
Arkansas,1996,2504858
California,1996,31780829
Colorado,1996,3812716
Connecticut,1996,3267030
Delaware,1996,727090
District Of Columbia,1996,538273
Florida,1996,14426911
Georgia,1996,7332225
Hawaii,1996,1184434
Idaho,1996,1187706
Illinois,1996,11953003
Indiana,1996,5834908
Iowa,1996,2848473
Kansas,1996,2598266
Kentucky,1996,3881051
Louisiana,1996,4338763
Maine,1996,1241436
Maryland,1996,5057142
Massachusetts,1996,6085393
Michigan,1996,9739184
Minnesota,1996,4647723
Mississippi,1996,2709925
Missouri,1996,5367888
Montana,1996,876656
Nebraska,1996,1647657
Nevada,1996,1596476
New Hampshire,1996,1160768
New Jersey,1996,8009624
New Mexico,1996,1706151
New York,1996,18143805
North Carolina,1996,7307658
North Dakota,1996,642858
Ohio,1996,11187032
Oklahoma,1996,3289634
Oregon,1996,3195087
Pennsylvania,1996,12038008
Rhode Island,1996,987858
South Carolina,1996,3738974
South Dakota,1996,730699
Tennessee,1996,5313576
Texas,1996,19006240
Utah,1996,2022253
Vermont,1996,586352
Virginia,1996,6665491
Washington,1996,5509963
West Virginia,1996,1818983
Wisconsin,1996,5173828
Wyoming,1996,480085
Alabama,1997,4320281
Alaska,1997,608846
Arizona,1997,4552207
Arkansas,1997,2524007
California,1997,32217708
Colorado,1997,3891293
Connecticut,1997,3268514
