table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Ohio: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...White,"4,910,983","4,910,882","4,899,954","4,887,226","4,877,428","4,865,367","4,849,253","4,837,000","4,824,923","4,811,241","4,798,914","4,788,091","4,784,094"
...Black,"684,326","685,975","692,243","697,846","702,875","706,918","710,959","715,527","720,367","724,648","728,338","730,767","731,738"
...AIAN,"10,955","10,959","11,019","10,974","10,908","10,880","10,805","10,745","10,739","10,674","10,594","10,493","10,513"
...Asian,"68,819","69,659","72,874","76,195","80,061","83,480","87,045","90,205","93,133","96,171","98,795","101,176","101,638"
...NHPI,"1,242","1,250","1,300","1,385","1,441","1,521","1,537","1,595","1,698","1,754","1,789","1,785","1,800"
..Two or More Races,"59,797","60,705","64,150","67,514","71,190","75,065","78,992","82,931","87,424","91,995","96,849","100,208","100,741"
.HISPANIC,"104,842","105,995","112,151","118,245","124,632","131,180","138,112","145,064","152,681","160,111","166,739","171,828","172,826"
..One Race,"101,642","102,702","108,387","114,024","119,868","125,953","132,244","138,661","145,627","152,317","158,367","162,891","163,827"
...White,"89,668","90,558","95,556","100,537","105,624","110,578","115,372","120,616","126,114","131,378","136,728","140,267","141,056"
...Black,"9,390","9,508","9,919","10,319","10,808","11,629","12,694","13,546","14,488","15,378","15,967","16,407","16,508"
...AIAN,"1,479","1,515","1,672","1,864","2,070","2,224","2,546","2,717","3,049","3,489","3,531","3,945","3,967"
...Asian,773,776,844,876,940,"1,016","1,112","1,165","1,263","1,355","1,389","1,468","1,478"
...NHPI,332,345,396,428,426,506,520,617,713,717,752,804,818
..Two or More Races,"3,200","3,293","3,764","4,221","4,764","5,227","5,868","6,403","7,054","7,794","8,372","8,937","8,999"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Ohio: April 1, 2000 to July 1, 2010 (ST-EST2010-03-39)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
