table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Georgia: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
..One Race,"3,948,010","3,965,368","4,017,050","4,065,678","4,109,989","4,154,106","4,218,448","4,302,401","4,377,389","4,429,193","4,466,487","4,491,239","4,499,814"
...White,"2,610,238","2,618,830","2,635,382","2,649,468","2,661,583","2,670,450","2,691,113","2,715,746","2,739,199","2,751,787","2,755,935","2,759,361","2,762,194"
...Black,"1,237,951","1,245,142","1,272,664","1,299,734","1,324,931","1,352,790","1,388,004","1,437,543","1,480,510","1,511,837","1,538,366","1,554,732","1,559,362"
...AIAN,"8,749","8,789","9,168","9,404","9,624","9,795","10,047","10,435","10,591","10,714","10,917","10,968","11,016"
...Asian,"89,440","90,953","98,114","105,246","111,912","119,031","127,131","136,404","144,698","152,372","158,656","163,571","164,614"
...NHPI,"1,632","1,654","1,722","1,826","1,939","2,040","2,153","2,273","2,391","2,483","2,613","2,607","2,628"
..Two or More Races,"34,492","35,099","38,477","41,889","45,152","49,009","52,830","57,398","62,324","66,792","71,068","74,004","74,494"
.HISPANIC,"176,942","179,766","200,635","220,367","239,811","260,409","283,985","310,807","337,859","360,999","380,201","393,239","396,003"
..One Race,"174,365","177,038","197,143","216,070","234,711","254,478","277,180","303,068","329,052","351,042","369,050","381,253","383,964"
...White,"156,027","158,163","175,888","191,960","207,959","224,796","244,339","266,230","288,280","305,532","318,781","327,948","330,264"
...Black,"14,154","14,432","15,730","17,355","18,893","20,704","22,729","25,234","27,965","31,050","34,233","36,212","36,499"
...AIAN,"2,203","2,414","3,218","4,102","4,944","5,823","6,705","7,768","8,580","9,819","10,844","11,693","11,763"
...Asian,"1,274","1,295","1,466","1,663","1,791","1,920","2,095","2,336","2,587","2,887","3,152","3,173","3,196"
...NHPI,707,734,841,990,"1,124","1,235","1,312","1,500","1,640","1,754","2,040","2,227","2,242"
..Two or More Races,"2,577","2,728","3,492","4,297","5,100","5,931","6,805","7,739","8,807","9,957","11,151","11,986","12,039"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Georgia: April 1, 2000 to July 1, 2010 (ST-EST2010-03-13)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
